"","betweenness","degree","closeness","eigen_centrality","page_rank","count_components","components","feature_id"
"10000",0.000550965268710964,0.0804004854368932,0.386129003794229,0.674836658014353,0.000310084391419345,26,1,"10000"
"10001",5.26599181975264e-06,0.00204793689320388,0.32575682382134,0.00010539046427204,2.87828478949684e-05,26,1,"10001"
"10002",1.22933978816796e-06,0.00356492718446602,0.343143917612003,0.000271365804858801,3.85730877063529e-05,26,1,"10002"
"100049587",0.00017795463309446,0.0537773058252427,0.355175585736703,0.476496199636711,0.00021610836555729,26,1,"100049587"
"10004",0,7.58495145631068e-05,0.259723815930044,3.35446395018629e-05,1.36092066975622e-05,26,1,"10004"
"10005",0.000265094777083039,0.0543841019417476,0.369646628185274,0.509429693632534,0.000214054719914921,26,1,"10005"
"10006",0,7.58495145631068e-05,0.21771144278607,8.45112906140789e-08,1.74407277802497e-05,26,1,"10006"
"10007",2.08978390837154e-09,0.000303398058252427,0.303713128976287,1.53646898532187e-05,1.38998307412324e-05,26,1,"10007"
"10008",0,7.58495145631068e-05,0.206184919351039,4.71277987638335e-08,2.68657176111183e-05,26,1,"10008"
"10009",1.98128068148767e-06,0.000303398058252427,0.276751834050089,6.4720215414891e-05,2.45781191746726e-05,26,1,"10009"
"1000",0,7.58495145631068e-05,0.275006808136247,0.000974851717735539,1.16355617814165e-05,26,1,"1000"
"100101267",0.000473091063996383,0.00128944174757282,0.292944169232829,0.00117345119467999,8.4397686315457e-05,26,1,"100101267"
"100113407",0,7.58495145631068e-05,0.212933677193324,6.07800848942711e-08,2.73830266138954e-05,26,1,"100113407"
"100125288",0.00034002071980052,0.000455097087378641,0.233357626606467,6.0723383877847e-08,9.07076375454425e-05,26,1,"100125288"
"100127983",1.40433862296703e-08,0.000303398058252427,0.295882260136582,0.00278316940267135,1.32359845862716e-05,26,1,"100127983"
"100128071",5.12533917042976e-10,0.000303398058252427,0.272886006485408,2.91288968014357e-06,1.37026006560696e-05,26,1,"100128071"
"100128327",0.000304661524545197,0.000303398058252427,0.23852610923362,3.60690316157139e-08,7.08586050658984e-05,26,1,"100128327"
"100128338",0.00371264593565799,0.00500606796116505,0.320593909497179,0.000748823221563091,0.000372095168660608,26,1,"100128338"
"100128553",0.00107719554558861,0.0316292475728155,0.362021895596062,0.196173708014672,0.000227700261934036,26,1,"100128553"
"100128569",0.00160386698263226,0.0810831310679612,0.359533329681766,0.00106923195495265,0.000760041111159355,26,1,"100128569"
"100128731",1.06228767175632e-07,0.000303398058252427,0.24689221973558,6.42236950983496e-06,2.90604194818806e-05,26,1,"100128731"
"100128927",3.20485860231694e-09,0.000151699029126214,0.297222033552944,0.00141045676209909,1.22118754661817e-05,26,1,"100128927"
"100129271",5.82120736073598e-08,0.00182038834951456,0.324709374227059,0.000101932177601616,2.52044888432972e-05,26,1,"100129271"
"100129278",0,7.58495145631068e-05,0.222693423351597,8.14194237233268e-09,1.44920110797706e-05,26,1,"100129278"
"100129361",0,7.58495145631068e-05,0.22859928954517,3.9426314941667e-06,1.70982907610973e-05,26,1,"100129361"
"100129480",0.0248720826662404,0.134708737864078,0.411265311237117,0.750156894541043,0.00124550259698125,26,1,"100129480"
"100129543",0.000151057479209064,0.000303398058252427,0.254438328552601,6.20136427715436e-07,2.92527992626858e-05,26,1,"100129543"
"100129583",0,7.58495145631068e-05,0.249762185609376,8.49480791584546e-05,1.1857667901614e-05,26,1,"100129583"
"100129654",8.7927141645564e-05,0.00712985436893204,0.357088456098357,0.000336975324378262,7.18975577688351e-05,26,1,"100129654"
"100129792",1.57559398305025e-05,0.00212378640776699,0.337654320987654,0.0170554152035315,2.54642171253462e-05,26,1,"100129792"
"100129842",0,7.58495145631068e-05,0.217135296063513,7.6160705026848e-09,1.40292769948521e-05,26,1,"100129842"
"100129969",0,7.58495145631068e-05,0.27068599352564,1.34388776629436e-06,1.19607817578644e-05,26,1,"100129969"
"100130274",0.00104340143084395,0.0787317961165049,0.384500483261576,0.00202797969595287,0.00065950111828439,26,1,"100130274"
"100130311",0.00038951482829914,0.00439927184466019,0.335103124361854,0.0179960514850952,7.80333055506042e-05,26,1,"100130311"
"100130348",3.782440168084e-06,0.00652305825242718,0.324797743635419,0.000136316964227756,6.14878373604292e-05,26,1,"100130348"
"100130519",1.14967879985398e-06,0.00576456310679612,0.353197557104038,0.000318821505763219,5.50166184058734e-05,26,1,"100130519"
