"","samples"
"GSE16879__GPL57016","GSM364649"
"GSE16879__GPL57017","GSM364650"
"GSE16879__GPL57018","GSM364651"
"GSE16879__GPL57019","GSM364652"
"GSE16879__GPL57020","GSM364653"
"GSE16879__GPL57021","GSM364654"
"GSE16879__GPL57022","GSM364655"
"GSE16879__GPL57023","GSM364656"
"GSE174159__rnaseq1","SRR14480123"
"GSE174159__rnaseq2","SRR14480124"
"GSE174159__rnaseq3","SRR14480125"
"GSE174159__rnaseq4","SRR14480126"
"GSE174159__rnaseq5","SRR14480127"
"GSE174159__rnaseq6","SRR14480128"
"GSE174159__rnaseq7","SRR14480129"
"GSE174159__rnaseq8","SRR14480136"
"GSE174159__rnaseq9","SRR14480137"
"GSE174159__rnaseq10","SRR14480138"
"GSE174159__rnaseq11","SRR14480139"
"GSE174159__rnaseq12","SRR14480140"
"GSE174159__rnaseq13","SRR14480141"
"GSE193677__GPL167911","SRR18509156"
"GSE193677__GPL167912","SRR18509213"
"GSE193677__GPL167913","SRR18509261"
"GSE193677__GPL167914","SRR18509262"
"GSE193677__GPL167915","SRR18509272"
"GSE193677__GPL167916","SRR18509402"
"GSE193677__GPL167917","SRR18509424"
"GSE193677__GPL167918","SRR18509447"
"GSE193677__GPL167919","SRR18509571"
"GSE193677__GPL1679110","SRR18509603"
"GSE193677__GPL1679111","SRR18509605"
"GSE193677__GPL1679112","SRR18509763"
"GSE193677__GPL1679113","SRR18509778"
"GSE193677__GPL1679114","SRR18509797"
"GSE193677__GPL1679115","SRR18509949"
"GSE193677__GPL1679116","SRR18509950"
"GSE193677__GPL1679117","SRR18509972"
"GSE193677__GPL1679118","SRR18510047"
"GSE193677__GPL1679119","SRR18510049"
"GSE193677__GPL1679120","SRR18510085"
"GSE193677__GPL1679121","SRR18510128"
"GSE193677__GPL1679122","SRR18510155"
"GSE193677__GPL1679123","SRR18510156"
"GSE193677__GPL1679124","SRR18510157"
"GSE193677__GPL1679125","SRR18510161"
"GSE193677__GPL1679126","SRR18510162"
"GSE193677__GPL1679127","SRR18510190"
"GSE193677__GPL1679128","SRR18510191"
"GSE193677__GPL1679129","SRR18510238"
"GSE193677__GPL1679130","SRR18510248"
"GSE193677__GPL1679131","SRR18510297"
"GSE193677__GPL1679132","SRR18510374"
"GSE193677__GPL1679133","SRR18510402"
"GSE193677__GPL1679134","SRR18510436"
"GSE193677__GPL1679135","SRR18510477"
"GSE193677__GPL1679136","SRR18510584"
"GSE193677__GPL1679137","SRR18510656"
"GSE193677__GPL1679138","SRR18510740"
"GSE193677__GPL1679139","SRR18510792"
"GSE193677__GPL1679140","SRR18510793"
"GSE193677__GPL1679141","SRR18510836"
"GSE193677__GPL1679142","SRR18511069"
"GSE193677__GPL1679143","SRR18511070"
"GSE193677__GPL1679144","SRR18511110"
"GSE193677__GPL1679145","SRR18511132"
"GSE193677__GPL1679146","SRR18511210"
"GSE193677__GPL1679147","SRR18511211"
"GSE193677__GPL1679148","SRR18511240"
"GSE193677__GPL1679149","SRR18511241"
"GSE193677__GPL1679150","SRR18511271"
"GSE193677__GPL1679151","SRR18511306"
"GSE193677__GPL1679152","SRR18511320"
"GSE193677__GPL1679153","SRR18511368"
"GSE193677__GPL1679154","SRR18511395"
"GSE193677__GPL1679155","SRR18511406"
"GSE193677__GPL1679156","SRR18511428"
"GSE206171__GPL136671","GSM6245293"
"GSE206171__GPL136672","GSM6245294"
"GSE206171__GPL136673","GSM6245299"
"GSE206171__GPL136674","GSM6245300"
"GSE206171__GPL136675","GSM6245301"
"GSE206171__GPL136676","GSM6245302"
"GSE206171__GPL136677","GSM6245303"
"GSE206171__GPL136678","GSM6245304"
"GSE206171__GPL136679","GSM6245305"
"GSE206171__GPL1366710","GSM6245306"
"GSE206171__GPL1366711","GSM6245309"
"GSE206171__GPL1366712","GSM6245310"
"GSE206171__GPL1366713","GSM6245311"
"GSE206171__GPL1366714","GSM6245312"
"GSE206171__GPL1366715","GSM6245317"
"GSE206171__GPL1366716","GSM6245319"
"GSE206171__GPL1366717","GSM6245320"
"GSE206171__GPL1366718","GSM6245325"
"GSE206171__GPL1366719","GSM6245326"
"GSE206171__GPL1366720","GSM6245327"
"GSE206171__GPL1366721","GSM6245328"
"GSE206171__GPL1366722","GSM6245331"
"GSE206171__GPL1366723","GSM6245332"
"GSE206171__GPL1366724","GSM6245333"
"GSE206171__GPL1366725","GSM6245334"
"GSE206171__GPL1366726","GSM6245335"
"GSE206171__GPL1366727","GSM6245336"
"GSE206171__GPL1366728","GSM6245337"
"GSE206171__GPL1366729","GSM6245338"
"GSE206171__GPL1366730","GSM6245339"
"GSE206171__GPL1366731","GSM6245340"
"GSE206171__GPL1366732","GSM6245341"
"GSE206171__GPL1366733","GSM6245348"
"GSE206171__GPL1366734","GSM6245349"
"GSE206171__GPL1366735","GSM6245350"
"GSE206171__GPL1366736","GSM6245351"
"GSE206171__GPL1366737","GSM6245356"
"GSE206171__GPL1366738","GSM6245357"
"GSE206171__GPL1366739","GSM6245360"
"GSE206171__GPL1366740","GSM6245361"
"GSE206171__GPL1366741","GSM6245366"
"GSE206171__GPL1366742","GSM6245367"
